Time (s),CH1,CH2
-0.0013420058506812109,-0.195625,-0.195625
-0.0013416058489373417,0.21531250000000002,0.21531250000000002
-0.0013412058471934725,-0.19609375,-0.19609375
-0.0013408058454496034,0.21531250000000002,0.21531250000000002
-0.0013404058437057342,-0.19640625,-0.19640625
-0.001340005841961865,0.21546875000000001,0.21546875000000001
-0.0013396058402179959,-0.1965625,-0.1965625
-0.0013392058384741267,0.2159375,0.2159375
-0.0013388058367302575,-0.19703125,-0.19703125
-0.0013384058349863884,0.21625,0.21625
-0.0013380058332425192,-0.196875,-0.196875
-0.00133760583149865,0.21671875000000002,0.21671875000000002
-0.0013372058297547809,-0.1975,-0.1975
-0.0013368058280109117,0.2171875,0.2171875
-0.0013364058262670426,-0.198125,-0.198125
-0.0013360058245231734,0.2175,0.2175
-0.0013356058227793042,-0.198125,-0.198125
-0.001335205821035435,0.21796875000000002,0.21796875000000002
-0.001334805819291566,-0.19796875,-0.19796875
-0.0013344058175476967,0.21796875000000002,0.21796875000000002
-0.0013340058158038276,-0.198125,-0.198125
-0.0013336058140599584,0.21796875000000002,0.21796875000000002
-0.0013332058123160892,-0.19890625,-0.19890625
-0.00133280581057222,0.21875,0.21875
-0.001332405808828351,-0.19921875,-0.19921875
-0.0013320058070844817,0.21937500000000001,0.21937500000000001
-0.0013316058053406126,-0.19953125,-0.19953125
-0.0013312058035967434,0.2190625,0.2190625
-0.0013308058018528743,-0.19984375000000001,-0.19984375000000001
-0.001330405800109005,0.21953125,0.21953125
-0.001330005798365136,-0.19968750000000002,-0.19968750000000002
-0.0013296057966212668,0.22046875,0.22046875
-0.0013292057948773976,-0.20046875,-0.20046875
-0.0013288057931335284,0.22078125,0.22078125
-0.0013284057913896593,-0.2009375,-0.2009375
-0.00132800578964579,0.22062500000000002,0.22062500000000002
-0.001327605787901921,-0.2009375,-0.2009375
-0.0013272057861580518,0.22109375,0.22109375
-0.0013268057844141826,-0.2009375,-0.2009375
-0.0013264057826703134,0.22140625,0.22140625
-0.0013260057809264443,-0.20171875,-0.20171875
-0.0013256057791825751,0.22171875,0.22171875
-0.001325205777438706,-0.2021875,-0.2021875
-0.0013248057756948368,0.2221875,0.2221875
-0.0013244057739509676,-0.201875,-0.201875
-0.0013240057722070985,0.22234375,0.22234375
-0.0013236057704632293,-0.201875,-0.201875
-0.0013232057687193601,0.22265625,0.22265625
-0.001322805766975491,-0.20234375000000002,-0.20234375000000002
-0.0013224057652316218,0.2225,0.2225
-0.0013220057634877526,-0.2028125,-0.2028125
-0.0013216057617438835,0.2228125,0.2228125
-0.0013212057600000143,-0.20328125,-0.20328125
-0.0013208057582561451,0.22359375,0.22359375
-0.001320405756512276,-0.2034375,-0.2034375
-0.0013200057547684068,0.2234375,0.2234375
-0.0013196057530245376,-0.20390625,-0.20390625
-0.0013192057512806685,0.2234375,0.2234375
-0.0013188057495367993,-0.20390625,-0.20390625
-0.0013184057477929301,0.224375,0.224375
-0.001318005746049061,-0.20421875,-0.20421875
-0.0013176057443051918,0.22484375,0.22484375
-0.0013172057425613227,-0.20453125,-0.20453125
-0.0013168057408174535,0.22484375,0.22484375
-0.0013164057390735843,-0.20453125,-0.20453125
-0.0013160057373297152,0.2246875,0.2246875
-0.001315605735585846,-0.20453125,-0.20453125
-0.0013152057338419768,0.225,0.225
-0.0013148057320981077,-0.2046875,-0.2046875
-0.0013144057303542385,0.2253125,0.2253125
-0.0013140057286103693,-0.20484375,-0.20484375
-0.0013136057268665002,0.22625,0.22625
-0.001313205725122631,-0.20546875,-0.20546875
